Yr,TableID,TableName,Universe,Product,Program
2020,P1,Race,Total Population,2020: DEC Redistricting Data (PL 94-171),Decennial Census
2020,P2,"Hispanic or Latino, and Not Hispanic or Latino by Race",Total Population,2020: DEC Redistricting Data (PL 94-171),Decennial Census
2020,P3,Race for the Population 18 Years and Over,Total Population 18 years and over,2020: DEC Redistricting Data (PL 94-171),Decennial Census
2020,P4,"Hispanic or Latino, and Not Hispanic or Latino by Race for the Population 18 Years and Over",Total Population 18 years and over,2020: DEC Redistricting Data (PL 94-171),Decennial Census
2020,P5,Group Quarters Population by Major Group Quarters Type,Population in Group Quarters,2020: DEC Redistricting Data (PL 94-171),Decennial Census
2020,H1,Occupancy Status,Housing Units,2020: DEC Redistricting Data (PL 94-171),Decennial Census
